week	uitzending	slot	titel	herh_van	herh_uur	gereed	bijzonderheden
23	Synology		Montages				
23	2026-06-05	vr19-1	Door de Mazen van het Net	2023-03-15	21	TRUE	 
23	2026-06-06	za18-1	Duke Ellington	2024-11-16	15	TRUE	 
23	2026-06-06	za22-1	House of Hard Bop	2022-04-16	17	TRUE	 
23	2026-06-06	za21-1	Three of a Kind	2020-04-11	15	TRUE	 
23	2026-06-08	ma20-2	Tussen Swing en Bop	2016-05-24	21	TRUE	 
23	2026-06-07	zo21-1	Vocal Jazz	2016-09-24	20	TRUE	 
23	Uitzendmac		HiJacks				
23	2026-06-09	di11-2	De Klankbron	2026-05-08	21	TRUE	 
23	2026-06-08	ma14-2	Disc-Cover!	2026-05-08	19	TRUE	 
23	2026-06-09	di19-2	Disc-Cover!	2026-05-08	19	TRUE	 
23	2026-06-06	za19-1	Folk It!	2026-05-31	17	TRUE	 
23	2026-06-07	zo11-1	Het Paleis van de Weemoed	2026-05-30	19	TRUE	 
23	2026-06-09	di22-2	Het Paleis van de Weemoed	2026-05-30	19	TRUE	 
23	2026-06-09	di21-2	Irie Riddims	2026-05-08	20	TRUE	 
23	2026-06-05	vr11-1	Mariama	2026-05-22	20	TRUE	 
23	Uitzendmac		Montages				
23	2026-06-07	zo20-1	Classic Jazz	2026-06-06	16	TRUE	 
23	2026-06-07	zo22-1	Dansen en de Blues	2026-06-07	00	TRUE	hh 20250309
23	2026-06-07	zo18-1	Holiday for Hipsters	2026-06-06	17	TRUE	 
23	2026-06-10	wo20-2	inJazz	2026-06-08	23	TRUE	 
23	2026-06-07	zo19-1	Spinning the Blues	2026-06-06	18	TRUE	 
23	2026-06-08	ma22-2	The Art of the Improvisers	2026-06-06	23	TRUE	 
23	2026-06-09	di18-2	Wereldmuziek Club	2026-06-05	23	TRUE	 
23	Uitzendmac		Montages of HiJacks				
23	2026-06-04	do18-1	¡Mambo!	2026-05-23	14	TRUE	 
23	2026-06-06	za14-1	Behind the Dikes	2026-05-02	20	TRUE	 
23	2026-06-06	za11-1	Classic Jazz	2026-05-02	16	TRUE	 
23	2026-06-04	do21-1	Congo Square Radio	2026-05-16	12	TRUE	 
23	2026-06-10	wo21-2	Deep Jazz	2026-02-14	22	TRUE	hh 20241012
23	2026-06-05	vr22-1	Duke Ellington	2026-05-16	15	TRUE	 
23	2026-06-09	di14-2	Dwarsliggers & Buitenbeentjes	2026-05-23	15	TRUE	 
23	2026-06-10	wo19-2	Dwarsliggers & Buitenbeentjes	2026-05-23	15	TRUE	 
23	2026-06-06	za20-1	Een Os op het Dak	2026-05-03	17	TRUE	 
23	2026-06-05	vr14-1	Holiday for Hipsters	2026-05-30	17	TRUE	 
23	2026-06-07	zo14-1	inJazz	2026-06-01	23	TRUE	 
23	2026-06-05	vr21-1	JazzNotJazz	2026-05-30	12	TRUE	hh 20250614
23	2026-06-10	wo22-2	Jump!	2026-05-09	17	TRUE	 
23	2026-06-08	ma19-2	Musicians Corner	2026-05-09	20	TRUE	 
23	2026-06-08	ma11-2	Oriënt Express	2026-05-22	22	TRUE	 
23	2026-06-09	di20-2	Oriënt Express	2026-05-22	22	TRUE	 
23	2026-06-04	do14-1	Vocal Jazz	2026-05-09	18	TRUE	 
23	World of Jazz		Montages of HiJacks				
23	2026-06-05	vr18-1	Dutch Jazz	2026-05-28	19	TRUE	 
23	2026-06-10	wo18-2	Jazzkotabel	2026-05-21	20	TRUE	hh 20250410
23	2026-06-11	do11-2	ProgJazz	2026-06-01	21	TRUE	 
23	2026-06-08	ma18-2	UK Jazz	2026-05-28	22	TRUE	hh 20260423 niet aanpassen
23	2026-06-10	wo11-2	World of Jazz Live	2026-05-29	20	TRUE	20240816 niet aanpassen
23	World of Jazz		Vers				
23	2026-06-10	wo14-2	Basement Sessions			TRUE	hh 20250322
23	2026-06-04	do19-1	Dutch Jazz			TRUE	 
23	2026-06-04	do20-1	Jazzkotabel			TRUE	hh 20250417
23	2026-06-08	ma21-2	ProgJazz			TRUE	 
23	2026-06-04	do22-1	UK Jazz			TRUE	 
23	2026-06-05	vr20-1	World of Jazz Live			TRUE	
